year,month,day,tank,size,trt,Leftover (g)
2017,1,4,31,small,0.0%,0.000
2017,1,4,32,large,1.0%,0.324
2017,1,4,33,small,0.5%,0.000
2017,1,4,34,large,1.0%,0.432
2017,1,4,35,small,0.0%,0.000
2017,1,4,36,large,2.0%,1.221
2017,1,5,1,large,0.5%,0.000
2017,1,5,2,large,2.0%,1.070
2017,1,5,3,small,0.0%,0.000
2017,1,5,4,small,1.0%,0.171
2017,1,5,5,large,1.0%,0.231
2017,1,5,6,large,0.0%,0.000
2017,1,5,7,small,2.0%,0.465
2017,1,5,8,small,0.5%,0.000
2017,1,5,9,small,0.0%,0.000
2017,1,5,10,large,2.0%,0.953
2017,1,5,11,small,1.0%,0.200
2017,1,5,12,small,0.5%,0.000
2017,1,5,13,small,1.0%,0.270
2017,1,5,14,small,2.0%,0.530
2017,1,5,15,small,0.0%,0.000
2017,1,5,16,small,0.5%,0.000
2017,1,5,17,small,2.0%,0.502
2017,1,5,18,large,0.0%,0.000
2017,1,5,19,small,1.0%,0.127
2017,1,5,20,large,0.5%,0.000
2017,1,5,21,small,0.0%,0.000
2017,1,5,22,small,2.0%,0.647
2017,1,5,23,large,0.5%,0.000
2017,1,5,24,small,1.0%,0.117
2017,1,5,25,large,0.0%,0.000
2017,1,5,26,small,1.0%,0.271
2017,1,5,27,small,2.0%,0.648
2017,1,5,28,small,0.5%,0.000
2017,1,5,29,small,0.5%,0.000
2017,1,5,30,small,2.0%,0.724
2017,1,5,31,small,0.0%,0.000
2017,1,5,32,large,1.0%,0.360
2017,1,5,33,small,0.5%,0.000
2017,1,5,34,large,1.0%,0.477
2017,1,5,35,small,0.0%,0.000
2017,1,5,36,large,2.0%,1.223
2017,1,6,1,large,0.5%,0.000
2017,1,6,2,large,2.0%,0.900
2017,1,6,3,small,0.0%,0.000
2017,1,6,4,small,1.0%,0.000
2017,1,6,5,large,1.0%,0.175
2017,1,6,6,large,0.0%,0.000
2017,1,6,7,small,2.0%,0.383
2017,1,6,8,small,0.5%,0.000
2017,1,6,9,small,0.0%,0.000
2017,1,6,10,large,2.0%,0.923
2017,1,6,11,small,1.0%,0.153
2017,1,6,12,small,0.5%,0.000
2017,1,6,13,small,1.0%,0.127
2017,1,6,14,small,2.0%,0.519
2017,1,6,15,small,0.0%,0.000
